name,slug,price,score,prince-range-min,prince-range-max,location,logo,delivery,pickup,phone,phone2,email,facebook,instagram,telegram,youtube,web,web2,address,geo,type,product_name,product_slug,product_price
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,YOGURT PROBIOTICO DE FRESA  4LT,yogurt-probiotico,15.65
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,YOGURT PROBIOTICO NATURAL 4LT,yogurt-probiotico-natural-4lt,15.05
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,VINO TINTO ,vino-tinto-x,1.99
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,VINO MOSCATEL,vino-moscatel,1.99
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,VINO ROSADO DE CEREZAS,vino-rosado-de-cerezas,1.99
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,PAN DE MOLDE REBANADO 800g,pan-de-molde-rebanado-350g,2.99
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,CAJA DE CERVEZA TIMBER (24unidades),caja-de-cerveza-timber-24unidades,19.99
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,CERVEZA PARRANDA 330ml,10-cajas-de-cerveza-timber-24unidades,0.7
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,CERVEZA PARRANDA 1.5lt,cerveza-mayabe-355ml,1.95
Market Rey,market-rey,USD,80.73,0.55,40.0,"Habana del Este, La Habana",https://img2.elyerromenu.com/images/market-rey/logo-y/img.webp,True,,+5355159617,+5355159617,yanetsanler@gmail.com,,,,,www.marketrey.com ,,Carretera del asilo #6 /Naval y los Pinos casablanca. ,"[-82.33339919218133, 23.154970416175193]",heladerias,TARJETA DE REGALO ,tarjeta-de-regalo,0.0
